role_code;role_label;company_name_official;company_name_normalized;market_partner_id;source_file;source_line_no
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Transchem Spolka z o.o.;transchemspolkazoo;1900100300400;vens liste.csv;44
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Verkehrsbetriebe Peine-Salzgitter GmbH;verkehrsbetriebepeinesalzgittergmbh;1900100300418;vens liste.csv;45
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;METRANS Rail s.r.o.;metransrailsro;1900100300426;vens liste.csv;46
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Captrain Deutschland GmbH;captraindeutschlandgmbh;1900100300434;vens liste.csv;47
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SBB Cargo AG;sbbcargoag;1900100300442;vens liste.csv;48
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;TSS Cargo a.s.;tsscargoas;1900100300450;vens liste.csv;49
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Stauden-Verkehrs-GmbH;staudenverkehrsgmbh;1900100300468;vens liste.csv;50
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;METRANS a.s.;metransas;1900100300476;vens liste.csv;51
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SRI Rail Invest GmbH;srirailinvestgmbh;1900100300484;vens liste.csv;52
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Mittelweserbahn GmbH;mittelweserbahngmbh;1900100300567;vens liste.csv;53
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Akiem Technik Germany GmbH & Co. KG;akiemtechnikgermanygmbhcokg;1900100300575;vens liste.csv;54
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;legleipzigereisenbahnverkehrsgesellschaftmbh;1900100300583;vens liste.csv;55
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Alstom Transport Deutschland GmbH;alstomtransportdeutschlandgmbh;1900100300591;vens liste.csv;56
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;National Express Rail GmbH;nationalexpressrailgmbh;1900100300608;vens liste.csv;57
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;HLB Hessenbahn GmbH;hlbhessenbahngmbh;1900100300616;vens liste.csv;58
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;EVB Elbe-Weser GmbH;evbelbewesergmbh;1900100300632;vens liste.csv;59
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Regionalbahn Kassel GmbH;regionalbahnkasselgmbh;1900100300640;vens liste.csv;60
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;RegioTram Gesellschaft mbH;regiotramgesellschaftmbh;1900100300658;vens liste.csv;61
