run_id;loco_no;coverage_date;performing_rus;performing_ru_count;in_report_movement_rows;assignment_slot_count;assigned_minutes;relevant_gap_slot_count;unresolved_gap_minutes;overlap_slot_count;overlap_minutes;expected_scope_slot_count;coverage_pct;relevant_gap_rows;long_gap_rows;max_gap_minutes;error_findings;manual_review_findings;warning_findings;info_findings;finding_rule_ids;export_ready_movement_rows;not_export_ready_movement_rows;gate_status;gate_reason;exact_overlap_seconds;exact_overlap_minutes
RUN_20260609_142008;91806185214-4;2026-06-05;LTE DE - LTE Germany GmbH | LTE AT - LTE Austria GmbH;2;13;73;1095;0;0;0;0;73;100.0;0;0;0;0;0;0;0;"";13;0;READY;"";0;0.0
RUN_20260609_142008;91806185221-9;2026-06-05;LTE DE - LTE Germany GmbH | LTE AT - LTE Austria GmbH;2;13;78;1170;0;0;0;0;78;100.0;0;0;0;0;0;0;0;"";13;0;READY;"";0;0.0
RUN_20260609_142008;91806185255-7;2026-06-05;LTE AT - LTE Austria GmbH | LTE DE - LTE Germany GmbH;2;12;82;1230;0;0;0;0;82;100.0;0;0;0;0;0;0;0;"";12;0;READY;"";0;0.0
RUN_20260609_142008;91806185346-4;2026-06-05;LTE DE - LTE Germany GmbH;1;8;96;1440;2;30;0;0;98;97.96;1;0;20;0;0;0;1;R010.5;8;0;WARNING;Ungeklärte GAP-Minuten=30 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185591-5;2026-06-05;LTE DE - LTE Germany GmbH | LTE AT - LTE Austria GmbH;2;3;19;285;0;0;0;0;19;100.0;0;0;0;0;0;0;0;"";3;0;READY;"";0;0.0
RUN_20260609_142008;91806185680-6;2026-06-05;LTE DE - LTE Germany GmbH;1;0;96;1440;0;0;0;0;96;100.0;0;0;0;0;0;0;0;"";0;0;READY;"";0;0.0
RUN_20260609_142008;91806186369-5;2026-06-05;LTE CZ - LTE Czechia s.r.o.;1;0;2;30;0;0;0;0;2;100.0;0;0;0;0;0;0;0;"";0;0;READY;"";0;0.0
RUN_20260609_142008;91806186941-1;2026-06-05;LTE NL - LTE Netherlands B.V.;1;3;45;675;0;0;0;0;45;100.0;0;0;0;0;0;0;0;"";3;0;READY;"";0;0.0
RUN_20260609_142008;91806186943-7;2026-06-05;LTE DE - LTE Germany GmbH;1;5;96;1440;0;0;0;0;96;100.0;0;0;0;0;0;0;0;"";5;0;READY;"";0;0.0
RUN_20260609_142008;91806189202-5;2026-06-05;LTE DE - LTE Germany GmbH;1;6;28;420;68;1020;2;30;96;29.17;1;1;5610;1;0;0;0;R011;5;1;BLOCKED;ERROR-Findings=1 | Overlap-Minuten=30 | GAPs über 8h=1 | Nicht exportfähige Movements=1 | Ungeklärte GAP-Minuten=1020 | Tatsaechliche Ueberschneidung=30.0 Minuten;1800;30.0
