role_code;role_name;official_company_name;mp_id;datalake_company_name;datalake_rics;datalake_relation_number;datalake_country;match_method;match_score;match_status;manual_review;approved_active_flag;alternative_1;alternative_1_score;alternative_2;alternative_2_score;alternative_3;alternative_3_score;manual_comment;source_line_no
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SBB GmbH;1900100300252;LDS GmbH;4170;;Germany;PROPOSED_LOW;75.0;REVIEW_REQUIRED;Y;N;STAV GmbH;70.6;bConn GmbH;66.7;Saarbahn GmbH;66.7;;30
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;trans regio Deutsche Regionalbahn GmbH;1900100300260;TransRegio Deutsche Regionalbahn GmbH;5231;;Germany;PROPOSED_HIGH;98.7;REVIEW_REQUIRED;Y;N;Deutsche Regionaleisenbahn GmbH;75.4;METRANS Rail (Deutschland) GmbH;71.6;Bayerische Regiobahn GmbH;69.8;;31
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Rail Cargo Carrier - Germany GmbH;1900100300278;Rail Cargo Carrier - Germany GmbH;3377;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;32
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;SBB Cargo Deutschland GmbH;1900100300286;SBB Cargo Deutschland GmbH;2385;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;33
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;agilis Eisenbahngesellschaft mbH & Co. KG;1900100300294;D und D Eisenbahngesellschaft mbH;4122;;Germany;PROPOSED_HIGH;96.7;REVIEW_REQUIRED;Y;N;ITL Eisenbahngesellschaft mbH;91.3;NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;90.9;Tim Rail Eisenbahngesellschaft mbH;89.7;;34
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Bayerische Oberlandbahn GmbH;1900100300301;Bayerische Oberlandbahn GmbH;5256;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;35
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;BLS Cargo Nord NV;1900100300319;BLS Cargo Nord NV;3423;;Belgium;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;36
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;HSL Logistik GmbH;1900100300327;HSL Logistik GmbH;3127;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;37
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;1900100300335;NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;3249;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;38
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;WestfalenBahn GmbH;1900100300343;WestfalenBahn GmbH;5279;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;39
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Akiem S.A.S.;1900100300351;AKIEM;;;France;REVIEW_LEGAL_FORM_VARIANT;99.0;REVIEW_REQUIRED;Y;N;;;;;;;;40
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Havelländische Eisenbahn AG;1900100300369;Havelländische Eisenbahn AG;3323;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;41
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;Regental Bahnbetriebs-GmbH;1900100300377;Bahnbetrieb GERA;;;;PROPOSED_MEDIUM;81.1;REVIEW_REQUIRED;Y;N;Centralbahn GmbH;66.7;Fernleitungsbetriebs GmbH;66.7;EBS - Erfurter Bahnservice GmbH;65.5;;42
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;ArcelorMittal Eisenhüttenstadt Transport GmbH;1900100300385;ArcelorMittal Eisenhüttenstadt Transport GmbH;3152;;Germany;AUTO_EXACT;100.0;APPROVED_AUTO;N;Y;;;;;;;;43
ANU_VENS;ANu-vEns (Nutzer) im Bahnstromnetz;LTE Logistik- und Transport-GmbH;1900100300393;LTE Logistik- und Transport-GmbH (Holding);3304;;Austria;AUTO_COSMETIC;100.0;APPROVED_AUTO;N;Y;;;;;;;;44
