run_id;loco_no;performing_ru;coverage_date;coverage_pct;assigned_minutes;unresolved_gap_minutes;overlap_minutes;error_findings;manual_review_findings;gate_status;gate_reason;exact_overlap_seconds;exact_overlap_minutes
RUN_20260609_142008;91806193829-9;LTE NL - LTE Netherlands B.V.;2026-06-08;100.0;1230;0;0;0;0;WARNING;INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193933-9;LTE NL - LTE Netherlands B.V.;2026-06-08;50.0;45;45;0;0;0;WARNING;Ungeklärte GAP-Minuten=45 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91854475435-4;LTE NL - LTE Netherlands B.V.;2026-06-08;58.24;795;570;0;0;0;WARNING;Ungeklärte GAP-Minuten=570 | INFO-Findings=4;0;0.0
RUN_20260609_142008;91887186221-8;LTE NL - LTE Netherlands B.V.;2026-06-08;100.0;45;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806189202-5;LTE PL - LTE Polska Spółka z o.o.;2026-06-08;91.67;330;30;0;0;0;WARNING;Ungeklärte GAP-Minuten=30 | INFO-Findings=1;0;0.0
RUN_20260609_142008;90802159256-7;RTB CARGO GmbH;2026-06-08;100.0;300;0;0;0;1;BLOCKED;Manual Reviews=1 | Nicht exportfähige Movements=1;0;0.0
RUN_20260609_142008;91806185221-9;LTE AT - LTE Austria GmbH;2026-06-07;100.0;960;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806185309-2;LTE AT - LTE Austria GmbH;2026-06-07;89.29;375;45;0;0;0;WARNING;Ungeklärte GAP-Minuten=45 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185310-0;LTE AT - LTE Austria GmbH;2026-06-07;82.89;945;195;0;0;0;WARNING;Ungeklärte GAP-Minuten=195 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185346-4;LTE AT - LTE Austria GmbH;2026-06-07;92.96;990;75;0;0;0;WARNING;Ungeklärte GAP-Minuten=75 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185352-2;LTE AT - LTE Austria GmbH;2026-06-07;84.62;495;90;0;0;0;WARNING;Ungeklärte GAP-Minuten=90 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185591-5;LTE AT - LTE Austria GmbH;2026-06-07;100.0;1035;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806186294-5;LTE AT - LTE Austria GmbH;2026-06-07;100.0;15;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193013-0;LTE AT - LTE Austria GmbH;2026-06-07;95.38;930;45;0;0;0;WARNING;Ungeklärte GAP-Minuten=45 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193386-0;LTE AT - LTE Austria GmbH;2026-06-07;61.29;570;360;0;0;1;BLOCKED;Manual Reviews=1 | Nicht exportfähige Movements=1 | Ungeklärte GAP-Minuten=360 | INFO-Findings=3;0;0.0
RUN_20260609_142008;91806193697-0;LTE AT - LTE Austria GmbH;2026-06-07;100.0;405;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193854-7;LTE AT - LTE Austria GmbH;2026-06-07;100.0;1020;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193968-5;LTE AT - LTE Austria GmbH;2026-06-07;100.0;225;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193232-6;LTE CZ - LTE Czechia s.r.o.;2026-06-07;68.75;165;75;0;0;0;WARNING;Ungeklärte GAP-Minuten=75 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193637-6;LTE CZ - LTE Czechia s.r.o.;2026-06-07;100.0;180;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193738-2;LTE CZ - LTE Czechia s.r.o.;2026-06-07;90.91;300;30;0;0;0;WARNING;Ungeklärte GAP-Minuten=30 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193796-0;LTE CZ - LTE Czechia s.r.o.;2026-06-07;100.0;615;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91807193908-9;LTE CZ - LTE Czechia s.r.o.;2026-06-07;90.91;300;30;0;0;0;WARNING;Ungeklärte GAP-Minuten=30 | INFO-Findings=1;0;0.0
RUN_20260609_142008;90802159259-1;LTE DE - LTE Germany GmbH;2026-06-07;100.0;1440;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806185221-9;LTE DE - LTE Germany GmbH;2026-06-07;100.0;960;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806185309-2;LTE DE - LTE Germany GmbH;2026-06-07;89.29;375;45;0;0;0;WARNING;Ungeklärte GAP-Minuten=45 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185310-0;LTE DE - LTE Germany GmbH;2026-06-07;82.89;945;195;0;0;0;WARNING;Ungeklärte GAP-Minuten=195 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185346-4;LTE DE - LTE Germany GmbH;2026-06-07;92.96;990;75;0;0;0;WARNING;Ungeklärte GAP-Minuten=75 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806185352-2;LTE DE - LTE Germany GmbH;2026-06-07;84.62;495;90;0;0;0;WARNING;Ungeklärte GAP-Minuten=90 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806186943-7;LTE DE - LTE Germany GmbH;2026-06-07;70.37;285;120;0;0;0;WARNING;Ungeklärte GAP-Minuten=120 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806192999-1;LTE DE - LTE Germany GmbH;2026-06-07;100.0;1440;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193013-0;LTE DE - LTE Germany GmbH;2026-06-07;95.38;930;45;0;0;0;WARNING;Ungeklärte GAP-Minuten=45 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193386-0;LTE DE - LTE Germany GmbH;2026-06-07;61.29;570;360;0;0;1;BLOCKED;Manual Reviews=1 | Nicht exportfähige Movements=1 | Ungeklärte GAP-Minuten=360 | INFO-Findings=3;0;0.0
RUN_20260609_142008;91806193625-1;LTE DE - LTE Germany GmbH;2026-06-07;85.0;510;90;0;0;0;WARNING;Ungeklärte GAP-Minuten=90 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193627-7;LTE DE - LTE Germany GmbH;2026-06-07;100.0;300;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193805-9;LTE DE - LTE Germany GmbH;2026-06-07;33.33;480;960;0;1;0;BLOCKED;ERROR-Findings=1 | GAPs über 8h=2 | Ungeklärte GAP-Minuten=960 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193868-7;LTE DE - LTE Germany GmbH;2026-06-07;100.0;1440;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91807193212-6;LTE DE - LTE Germany GmbH;2026-06-07;93.14;1425;105;0;0;0;WARNING;Ungeklärte GAP-Minuten=105 | INFO-Findings=2;0;0.0
RUN_20260609_142008;91515370164-3;LTE NL - LTE Netherlands B.V.;2026-06-07;100.0;405;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91515370178-3;LTE NL - LTE Netherlands B.V.;2026-06-07;95.24;600;30;0;0;0;WARNING;Ungeklärte GAP-Minuten=30 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91547383015-5;LTE NL - LTE Netherlands B.V.;2026-06-07;88.89;600;75;0;0;0;WARNING;Ungeklärte GAP-Minuten=75 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91547383022-1;LTE NL - LTE Netherlands B.V.;2026-06-07;58.82;450;315;0;0;0;WARNING;Ungeklärte GAP-Minuten=315 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806186369-5;LTE NL - LTE Netherlands B.V.;2026-06-07;30.56;165;375;0;0;0;WARNING;Ungeklärte GAP-Minuten=375 | INFO-Findings=2;0;0.0
RUN_20260609_142008;91806186941-1;LTE NL - LTE Netherlands B.V.;2026-06-07;61.82;510;315;0;0;0;WARNING;Ungeklärte GAP-Minuten=315 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806186944-5;LTE NL - LTE Netherlands B.V.;2026-06-07;98.31;870;15;0;0;0;WARNING;Ungeklärte GAP-Minuten=15;0;0.0
RUN_20260609_142008;91806193232-6;LTE NL - LTE Netherlands B.V.;2026-06-07;68.75;165;75;0;0;0;WARNING;Ungeklärte GAP-Minuten=75 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193257-3;LTE NL - LTE Netherlands B.V.;2026-06-07;35.21;375;690;0;0;0;BLOCKED;GAPs über 8h=1 | Ungeklärte GAP-Minuten=690 | INFO-Findings=2;0;0.0
RUN_20260609_142008;91806193260-7;LTE NL - LTE Netherlands B.V.;2026-06-07;97.22;525;15;0;0;0;WARNING;Ungeklärte GAP-Minuten=15 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193262-3;LTE NL - LTE Netherlands B.V.;2026-06-07;82.54;780;165;0;0;0;WARNING;Ungeklärte GAP-Minuten=165 | INFO-Findings=2;0;0.0
RUN_20260609_142008;91806193280-5;LTE NL - LTE Netherlands B.V.;2026-06-07;100.0;705;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193427-2;LTE NL - LTE Netherlands B.V.;2026-06-07;48.0;360;390;0;0;0;WARNING;Ungeklärte GAP-Minuten=390;0;0.0
RUN_20260609_142008;91806193512-1;LTE NL - LTE Netherlands B.V.;2026-06-07;82.54;780;165;0;0;0;WARNING;Ungeklärte GAP-Minuten=165 | INFO-Findings=2;0;0.0
RUN_20260609_142008;91806193622-8;LTE NL - LTE Netherlands B.V.;2026-06-07;62.69;630;375;0;0;0;WARNING;Ungeklärte GAP-Minuten=375 | INFO-Findings=2;0;0.0
RUN_20260609_142008;91806193637-6;LTE NL - LTE Netherlands B.V.;2026-06-07;100.0;180;0;0;0;0;READY;"";0;0.0
RUN_20260609_142008;91806193738-2;LTE NL - LTE Netherlands B.V.;2026-06-07;90.91;300;30;0;0;0;WARNING;Ungeklärte GAP-Minuten=30 | INFO-Findings=1;0;0.0
RUN_20260609_142008;91806193740-8;LTE NL - LTE Netherlands B.V.;2026-06-07;25.0;225;675;0;0;0;BLOCKED;GAPs über 8h=1 | Ungeklärte GAP-Minuten=675;0;0.0
RUN_20260609_142008;91806193796-0;LTE NL - LTE Netherlands B.V.;2026-06-07;100.0;615;0;0;0;0;READY;"";0;0.0
