role_code;source_value_normalized;source_value;official_company_name;market_partner_id;match_method;match_score
ANU_VENS;flixtraingmbh;FlixTrain GmbH;FlixTrain GmbH;1900100302844;AUTO_EXACT;100.0
ANU_VENS;anhaltinischbrandenburgischeeisenbahngesellschaftmbh;Anhaltinisch-Brandenburgische Eisenbahngesellschaft mbH;Anhaltinisch-Brandenburgische Eisenbahngesellschaft mbH;1900100303090;AUTO_EXACT;100.0
ANU_VENS;ehgueterverkehrgmbh;EH Güterverkehr GmbH;EH Güterverkehr GmbH;1900100303446;AUTO_EXACT;100.0
ANE_TENS;ltelogistikundtransportgmbhholding;LTE Logistik- und Transport-GmbH (Holding);LTE Logistik- und Transport-GmbH;1900100400391;AUTO_COSMETIC;100.0
ANE_TENS;metransrailsro;METRANS Rail s.r.o.;METRANS Rail s.r.o.;1900100400424;AUTO_EXACT;100.0
ANE_TENS;hlbhessenbahngmbh;HLB Hessenbahn GmbH;HLB Hessenbahn GmbH;1900100400614;AUTO_EXACT;100.0
ANE_TENS;blscargoag;BLS Cargo AG;BLS Cargo AG;1900100401547;AUTO_EXACT;100.0
ANE_TENS;dbregioag;DB Regio AG..;DB Regio AG;1900100401654;AUTO_EXACT;100.0
ANE_TENS;dbbahnbaugruppegmbh;DB Bahnbau Gruppe GmbH;DB Bahnbau Gruppe GmbH;1900100403171;AUTO_EXACT;100.0
ANE_TENS;mzeisenbahndienstleistungengmbh;MZ Eisenbahndienstleistungen GmbH;MZ Eisenbahndienstleistungen GmbH;1900100403387;AUTO_EXACT;100.0
ANE_TENS;medwaybelgiumnv;MEDWAY BELGIUM nv;Medway Belgium NV;1900100403501;AUTO_EXACT;100.0
ANE_TENS;railcargologisticsgermanygmbh;Rail Cargo Logistics Germany GmbH;Rail Cargo Logistics - Germany GmbH;1900100403650;AUTO_EXACT;100.0
ANE_TENS;vlobahngmbh;VLO Bahn GmbH;VLO Bahn GmbH;1900100403783;AUTO_EXACT;100.0
ANE_TENS;regionalverkehrestartdeutschlandgmbh;Regionalverkehre Start Deutschland GmbH;Regionalverkehre Start Deutschland GmbH;1900100403816;AUTO_EXACT;100.0
ANU_VENS;metronomeisenbahngesellschaftmbh;metronom Eisenbahngesellschaft mbH;metronom Eisenbahngesellschaft mbH;1900100300210;AUTO_EXACT;100.0
ANU_VENS;blscargonordnv;BLS Cargo Nord NV;BLS Cargo Nord NV;1900100300319;AUTO_EXACT;100.0
ANU_VENS;railadventuregmbh;RailAdventure GmbH;RailAdventure GmbH;1900100301036;AUTO_EXACT;100.0
ANU_VENS;ctllogisticsgmbh;CTL Logistics GmbH;CTL Logistics GmbH;1900100301375;AUTO_EXACT;100.0
ANU_VENS;loconbeneluxbv;Locon Benelux B.V.;Locon Benelux B.V.;1900100301523;AUTO_EXACT;100.0
ANU_VENS;dbcargoag;DB Cargo AG.;DB Cargo AG;1900100301622;AUTO_EXACT;100.0
ANU_VENS;westbahnmanagementgmbh;WESTbahn Management GmbH;WESTbahn Management GmbH;1900100301929;AUTO_EXACT;100.0
ANU_VENS;train4traingmbh;Train4Train GmbH;Train4Train GmbH;1900100302175;AUTO_EXACT;100.0
ANU_VENS;rennsteigbahngmbhcokg;Rennsteigbahn GmbH & Co KG;Rennsteigbahn GmbH & Co. KG;1900100302266;AUTO_EXACT;100.0
ANU_VENS;lokpartnerbetriebsgesellschaftmbhcokg;Lok-Partner Betriebsgesellschaft mbH & Co. KG;Lok-Partner Betriebsgesellschaft mbH & Co. KG;1900100302810;AUTO_EXACT;100.0
ANU_VENS;eifelbahnverkehrsgesellschaftmbh;Eifelbahn Verkehrsgesellschaft mbH;Eifelbahn Verkehrsgesellschaft mbH;1900100303024;AUTO_EXACT;100.0
ANU_VENS;cdcargoas;CD Cargo a.s.;CD Cargo a.s.;1900100303131;AUTO_EXACT;100.0
ANU_VENS;konrailgmbh;KonRail GmbH;KonRail GmbH;1900100303470;AUTO_EXACT;100.0
ANU_VENS;intertourexgmbh;InterTourex GmbH;InterTourex GmbH;1900100303488;AUTO_EXACT;100.0
ANU_VENS;dunddeisenbahngesellschaftmbh;D und D Eisenbahngesellschaft mbH;D & D Eisenbahngesellschaft mbH;1900100303876;AUTO_EXACT;100.0
ANU_VENS;basfse;BASF SE;BASF SE;1900100303975;AUTO_EXACT;100.0
ANU_VENS;nordicrefinanceab;Nordic Re-Finance AB;Nordic Re-Finance AB;1900100304048;AUTO_EXACT;100.0
ANE_TENS;boxxpressdegmbh;boxXPress.de GmbH;boxXpress.de GmbH;1900100400044;AUTO_EXACT;100.0
ANE_TENS;staudenverkehrsgmbh;Stauden-Verkehrs-GmbH;Stauden-Verkehrs-GmbH;1900100400466;AUTO_EXACT;100.0
ANE_TENS;emonsbahntransportegmbh;Emons Bahntransporte GmbH;Emons Bahntransporte GmbH;1900100400698;AUTO_EXACT;100.0
ANE_TENS;vulkaneifelbahnbetriebsgesellschaftmbh;Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;1900100401191;AUTO_EXACT;100.0
ANE_TENS;sncfvoyagesdeutschlandgmbh;SNCF Voyages Deutschland GmbH;SNCF Voyages Deutschland GmbH;1900100401696;AUTO_EXACT;100.0
ANE_TENS;bahnlogistik24gmbh;Bahnlogistik24 GmbH;Bahnlogistik24 GmbH;1900100401836;AUTO_EXACT;100.0
ANE_TENS;vlexxgmbh;vlexx GmbH;vlexx GmbH;1900100402280;AUTO_EXACT;100.0
ANE_TENS;twentyonegmbh;Twentyone GmbH;twentyone GmbH;1900100402595;AUTO_EXACT;100.0
ANE_TENS;railforceonegermanygmbh;Rail Force One Germany GmbH;Rail Force One Germany GmbH;1900100402644;AUTO_EXACT;100.0
ANE_TENS;cargomotionsro;Cargo Motion s.r.o.;Cargo Motion s.r.o.;1900100403999;AUTO_EXACT;100.0
ANU_VENS;railpoolgmbh;Railpool Gmbh;Railpool GmbH;1900100300062;AUTO_EXACT;100.0
ANU_VENS;havellaendischeeisenbahnag;Havelländische Eisenbahn AG;Havelländische Eisenbahn AG;1900100300369;AUTO_EXACT;100.0
ANU_VENS;btebahntouristikexpressgmbh;BTE BahnTouristikExpress GmbH;BTE BahnTouristikExpress GmbH;1900100301028;AUTO_EXACT;100.0
ANU_VENS;eichholzeivelgmbh;Eichholz EIVEL GmbH;Eichholz Eivel GmbH;1900100301432;AUTO_EXACT;100.0
ANU_VENS;greencargoab;Green Cargo AB;Green Cargo AB;1900100301721;AUTO_EXACT;100.0
ANU_VENS;europortefrance;Europorte France;EUROPORTE France;1900100301797;AUTO_EXACT;100.0
ANU_VENS;dbcargofrancesas;DB Cargo France SAS;DB Cargo France SAS;1900100301812;AUTO_EXACT;100.0
ANU_VENS;bbllogistikgmbh;BBL Logistik GmbH;BBL Logistik GmbH;1900100302133;AUTO_EXACT;100.0
ANU_VENS;regioinfraservicesachsengmbh;Regio Infra Service Sachsen GmbH;Regio Infra Service Sachsen GmbH;1900100302703;AUTO_EXACT;100.0
ANU_VENS;cargounitspzoo;Cargounit sp. z o. o.;CARGOUNIT Sp. z o.o.;1900100302795;AUTO_EXACT;100.0
ANU_VENS;weseremseisenbahngmbh;Weser Ems Eisenbahn GmbH;Weser Ems Eisenbahn GmbH;1900100303016;AUTO_EXACT;100.0
ANE_TENS;cantusverkehrsgesellschaftmbh;Cantus Verkehrsgesellschaft mbH;cantus Verkehrsgesellschaft mbH;1900100400036;AUTO_EXACT;100.0
