source_system;source_field;source_value;role_code;official_company_name;market_partner_id;active_flag;match_method;match_score;manual_review;comment;source_value_normalized;official_company_name_normalized;validation_error
RailCube/DataLake;Company name;Lokomotion Gesellschaft für Schienentraktion mbH;BKV;LOKOMOTION Gesellschaft für Schienentraktion mbH;1900100360230;Y;AUTO_EXACT;100.0;N;;lokomotiongesellschaftfuerschienentraktionmbh;lokomotiongesellschaftfuerschienentraktionmbh;MP-ID ist für die angegebene Rolle nicht in der offiziellen Marktpartnerliste vorhanden.
RailCube/DataLake;Company name;Bane NOR;MSB;Bane NOR (NO) (0076);1900100500761;Y;AUTO_COSMETIC;100.0;N;;banenor;banenorno0076;MP-ID ist für die angegebene Rolle nicht in der offiziellen Marktpartnerliste vorhanden.
RailCube/DataLake;Company name;Network Rail;MSB;Network Rail (GB) (4711);1900100547119;Y;AUTO_COSMETIC;100.0;N;;networkrail;networkrailgb4711;MP-ID ist für die angegebene Rolle nicht in der offiziellen Marktpartnerliste vorhanden.
RailCube/DataLake;Company name;Trafikverket;MSB;Trafikverket (SE) (0074);1900100500745;Y;AUTO_COSMETIC;100.0;N;;trafikverket;trafikverketse0074;MP-ID ist für die angegebene Rolle nicht in der offiziellen Marktpartnerliste vorhanden.
