run_id;loco_no;coverage_date;performing_rus;performing_ru_count;in_report_movement_rows;assignment_slot_count;assigned_minutes;relevant_gap_slot_count;unresolved_gap_minutes;overlap_slot_count;overlap_minutes;expected_scope_slot_count;coverage_pct;relevant_gap_rows;long_gap_rows;max_gap_minutes;error_findings;manual_review_findings;warning_findings;info_findings;finding_rule_ids;export_ready_movement_rows;not_export_ready_movement_rows;gate_status;gate_reason
RUN_20260607_181025;90802019402-7;2026-06-06;LTE DE - LTE Germany GmbH;1;8;38;570;0;0;4;60;38;100.0;0;0;0;0;0;0;0;"";0;8;BLOCKED;Overlap-Minuten=60 | Nicht exportfähige Movements=8
RUN_20260607_181025;90802159259-1;2026-06-06;LTE DE - LTE Germany GmbH;1;6;32;480;0;0;3;45;32;100.0;0;0;0;1;0;0;0;R011;0;6;BLOCKED;ERROR-Findings=1 | Overlap-Minuten=45 | Nicht exportfähige Movements=6
RUN_20260607_181025;91515370037-1;2026-06-06;LTE PL - LTE Polska Spółka z o.o. | LTE NL - LTE Netherlands B.V.;2;3;63;945;0;0;1;15;63;100.0;0;0;0;0;0;0;0;"";0;3;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=3
RUN_20260607_181025;91515370164-3;2026-06-06;LTE PL - LTE Polska Spółka z o.o. | LTE NL - LTE Netherlands B.V.;2;2;51;765;0;0;2;30;51;100.0;0;0;0;0;0;0;0;"";0;2;BLOCKED;Overlap-Minuten=30 | Nicht exportfähige Movements=2
RUN_20260607_181025;91515370178-3;2026-06-06;LTE PL - LTE Polska Spółka z o.o.;1;2;74;1110;0;0;0;0;74;100.0;0;0;0;0;0;0;1;R003;0;2;BLOCKED;Nicht exportfähige Movements=2 | INFO-Findings=1
RUN_20260607_181025;91547383022-1;2026-06-06;LTE NL - LTE Netherlands B.V.;1;1;41;615;0;0;1;15;41;100.0;0;0;0;0;0;0;0;"";0;1;BLOCKED;Overlap-Minuten=15 | Nicht exportfähige Movements=1
RUN_20260607_181025;91806185255-7;2026-06-06;LTE AT - LTE Austria GmbH;1;0;10;150;0;0;0;0;10;100.0;0;0;0;0;0;0;0;"";0;0;READY;""
RUN_20260607_181025;91806185309-2;2026-06-06;LTE AT - LTE Austria GmbH;1;1;1;15;0;0;0;0;1;100.0;0;0;0;0;0;0;0;"";0;1;BLOCKED;Nicht exportfähige Movements=1
RUN_20260607_181025;91806185346-4;2026-06-06;LTE DE - LTE Germany GmbH;1;1;52;780;0;0;0;0;52;100.0;0;0;0;0;0;0;0;"";0;1;BLOCKED;Nicht exportfähige Movements=1
RUN_20260607_181025;91806185352-2;2026-06-06;LTE DE - LTE Germany GmbH;1;1;22;330;0;0;0;0;22;100.0;0;0;0;0;0;0;0;"";0;1;BLOCKED;Nicht exportfähige Movements=1
